Tilemap
60,60
15,15
556,66,556,556,66,66,251,1057,66,66,554,66,258,66,66
66,66,66,556,556,66,556,1057,66,66,66,66,554,66,554
66,556,304,308,309,1170,1170,1057,258,1168,304,308,309,1168,66
66,66,374,373,372,490,490,1057,1168,158,374,373,373,158,1168
556,66,373,42,374,490,490,1057,1168,158,372,41,374,158,1168
556,66,66,1156,1025,1025,1025,1092,1025,1025,1025,1160,66,1168,66
66,66,66,310,309,66,556,1057,66,66,304,307,311,66,66
66,623,309,373,233,622,623,1057,554,66,373,373,373,66,554
622,233,372,44,373,149,622,1057,554,554,373,45,373,554,554
66,622,622,1156,1025,1025,1025,1092,1025,1025,1025,1160,554,554,554
66,66,304,308,309,66,66,1057,66,66,309,308,311,66,66
66,66,373,373,372,66,66,1057,66,66,374,373,373,66,66
556,556,372,41,373,556,556,1057,66,1316,373,40,374,66,66
66,66,556,1156,1025,1025,1025,1092,1025,1025,1025,1160,66,66,66
66,556,556,556,66,556,556,1057,66,66,66,66,66,66,66
