Tilemap
60,60
15,15
175,309,175,175,175,310,175,309,175,175,175,175,309,175,175
179,2,2,2,364,366,364,365,366,366,365,2,2,2,179
310,68,2,366,365,2,2,2,2,2,365,365,2,101,179
179,2,364,365,2,2,2,2,2,2,2,366,364,2,309
308,2,366,2,2,101,2,2,2,68,2,2,366,2,308
309,2,366,2,2,2,2,68,2,2,2,68,366,2,179
179,2,365,2,366,365,2,2,2,366,364,2,364,2,179
179,2,366,2,364,366,2,366,2,364,365,2,364,2,179
179,2,364,2,2,2,101,2,2,2,2,2,366,2,179
179,2,366,366,2,2,2,2,2,2,2,366,364,2,308
309,2,2,364,2,365,2,366,2,366,2,364,2,2,179
179,2,2,365,366,366,366,364,366,365,364,365,2,2,309
179,68,2,2,2,2,2,134,134,2,2,68,2,2,308
309,2,2,2,2,2,134,134,134,2,2,2,134,2,179
179,179,179,309,179,179,134,134,134,179,179,179,179,309,179
