Tilemap
60,60
15,15
175,309,175,175,309,175,668,365,134,175,310,175,175,310,175
265,265,265,265,265,913,364,134,365,913,265,265,265,265,265
265,265,265,265,265,913,134,364,134,913,265,265,265,265,265
265,265,265,265,265,913,364,668,364,913,265,265,265,265,265
265,265,265,265,265,814,364,364,668,814,265,265,265,265,265
265,265,265,265,265,365,265,364,68,364,265,265,265,265,265
265,265,265,265,265,265,265,364,365,265,265,265,265,268,266
268,266,265,265,265,364,68,265,265,265,265,265,265,266,266
267,266,267,265,265,265,365,265,365,265,265,265,265,267,266
267,268,267,266,265,265,265,366,265,265,265,265,265,265,265
266,266,267,266,266,265,265,265,265,366,265,265,265,265,265
267,266,268,267,268,265,364,265,265,265,265,265,265,267,266
266,267,267,266,266,364,265,101,364,265,266,266,268,266,268
266,267,267,267,266,265,366,265,365,266,266,267,266,266,266
267,266,267,268,267,265,365,265,364,266,266,268,266,267,266
0
