Tilemap
60,60
15,15
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
56,1030,1033,1033,1033,1096,1033,1033,1033,1034,56,117,503,118,56
56,1063,159,1005,159,1063,159,1005,159,1063,56,150,503,117,56
56,1063,159,1005,159,1063,159,1005,159,1063,56,117,503,117,56
56,1063,159,1005,159,1063,159,1005,159,1063,56,55,108,56,56
56,1162,1031,1096,1031,1100,1033,1033,1033,1166,163,161,1129,163,56
56,161,163,1063,163,161,163,162,162,163,162,162,1129,161,56
122,1031,1031,1032,162,161,161,1030,1031,1031,1031,1031,1166,162,56
56,163,162,1063,161,163,162,1063,162,163,162,162,162,162,56
56,163,161,1063,162,163,162,1129,163,161,163,161,163,162,56
56,163,161,1162,1031,1031,1031,1032,162,162,162,163,161,162,56
56,162,163,162,163,163,162,1129,163,161,161,162,163,315,56
56,161,161,162,163,162,162,1129,162,161,162,162,315,315,56
56,161,163,162,161,161,161,1129,162,163,162,315,315,315,56
56,56,56,56,56,56,56,89,56,56,56,56,56,56,56

